date,a2c,ddpg,td3,ppo,sac,mvo
2022-05-30,2296606.7992000002,2266265.4030999998,2001761.9020499997,2253328.5216499935,1965746.1593499999,2022969.1305785077
2022-05-31,2285994.4992000004,2260180.0030999994,1993879.00205,2240807.5148499934,1962754.7593499995,2016599.9818253086
2022-06-01,2288489.3992000003,2273130.9030999998,2004063.20205,2247426.717449994,1973213.1593499996,2026631.0778552645
2022-06-02,2303104.4992,2280912.0030999994,2002034.3020499998,2255296.013349993,1992534.6593499999,2030409.3064311491
2022-06-05,2345724.6992,2338898.303099999,2015000.5020499998,2296684.7176499935,2038434.4593499994,2081378.9322377283
2022-06-06,2347619.9992,2344479.303099999,2010893.20205,2296080.613199993,2035676.1593499996,2088563.3738129064
2022-06-07,2322273.0992,2318024.1031,2009410.7020499997,2273572.6168999937,2006042.75935,2071967.118776119
2022-06-08,2342170.3992,2340610.5030999994,2026705.7020499997,2292023.614299993,2019495.1593499999,2098435.126777538
2022-06-09,2340648.7992000007,2339824.7030999996,2018052.6020499999,2296853.519399994,2021192.9593499994,2096415.558521673
2022-06-12,2329967.7992,2327488.6031,2016687.5020499998,2294181.5426999936,2015805.3593499996,2085628.066273022
2022-06-13,2307349.2992000002,2307584.9030999993,2013436.8020499998,2273157.7516499935,1992731.7593499997,2079951.6571132664
2022-06-14,2297133.1992000006,2294896.2031,2006199.6020499999,2260775.656199994,1981284.4593499994,2075335.659215627
