,a2c,ddpg,td3,ppo,sac,mvo
2021-04-06,2737581.0510400007,2927312.980425,2926427.560165001,2294377.9061150015,2665783.9879800007,3470399.7178230127
2021-04-07,2759204.2510400005,2938797.000425,2941247.1101650014,2302359.7676250013,2678922.5079800007,3498076.8533187057
2021-04-08,2778542.7410400007,2958704.8304250003,2948190.350165001,2300431.952120002,2676137.2879800005,3525645.728143721
2021-04-09,2808431.841040001,2987790.190425,2975640.4801650015,2322060.218305002,2700477.63798,3549727.835277833
2021-04-12,2815057.601040001,2974609.020425,2965179.370165001,2326411.905550002,2710298.4179800004,3509312.6721625235
2021-04-13,2817493.921040001,2977953.740425,2942051.2801650013,2312160.1589900022,2670364.5979800005,3535495.670621353
2021-04-14,2808244.5910400003,2959978.2004250004,2932855.3401650013,2318553.294865002,2670367.447980001,3498166.1763057937
2021-04-15,2822828.961040001,2985367.480425,2953964.540165001,2311784.3151700017,2667211.977980001,3553477.3286138093
2021-04-16,2832058.2810400007,2967757.0904250005,2945665.1301650014,2296755.251360002,2678204.0879800003,3556775.0527828243
2021-04-19,2818411.101040001,2948724.990425,2941117.3001650013,2293592.0805950016,2670158.9179800004,3540982.196389853
2021-04-20,2794371.671040001,2888912.260425,2906568.4901650012,2267835.192570002,2619518.6779800006,3498033.426233667
2021-04-21,2823479.981040001,2925887.750425,2944785.230165001,2287259.456825002,2653660.1179800006,3537022.3282923484
2021-04-22,2784930.8610400013,2883108.6704250006,2905949.040165001,2272938.0543050016,2618227.9579800004,3486913.699646811
2021-04-23,2829089.2210400007,2929971.450425,2944156.9401650014,2296101.3341300013,2658463.857980001,3548604.9788131546
2021-04-26,2841915.2410400007,2953283.7204250004,2945862.8501650007,2304189.9240200017,2671965.1879800004,3588283.694268073
2021-04-27,2853277.5410400005,2958510.8504250003,2936128.210165001,2309219.9969600015,2679657.7579800007,3580206.768163083
2021-04-28,2817363.291040001,2929229.9204250006,2932477.3001650013,2320081.1755850012,2692059.7079800004,3569932.703350503
2021-04-29,2816967.9710400007,2936638.0804250003,2961044.5301650013,2338507.4449100015,2732258.287980001,3586725.0417726245
2021-04-30,2806576.4510400007,2909234.8104250003,2924231.250165001,2330688.9584850017,2706040.7979800007,3543593.9481753986
2021-05-03,2803436.0410400005,2912291.740425,2945267.3801650014,2334925.8587300014,2725776.8379800012,3516032.7518223533
2021-05-04,2788085.6610400006,2882070.9204250006,2939724.940165001,2337306.0153650013,2755234.417980001,3484507.1847870513
2021-05-05,2778026.161040001,2878539.5604250003,2962442.2401650012,2349891.699975001,2779582.0479800007,3464984.76647502
2021-05-06,2814991.2210400007,2908456.210425,2992960.320165001,2366900.1439000014,2816424.0179800005,3492270.916979264
2021-05-07,2831669.4310400006,2931113.8804250006,3007896.510165001,2371437.7534100013,2829170.5079800007,3509994.302044864
2021-05-10,2794051.911040001,2892981.0604250003,3010416.160165001,2373970.2390800016,2836006.23798,3454744.776960791
2021-05-11,2774336.3710400006,2863753.8004250005,2964677.080165001,2351476.4726100015,2783578.717980001,3445204.3400136214
2021-05-12,2714990.9610400004,2800123.110425,2923353.710165001,2326580.675105002,2748644.87798,3371716.7169094724
2021-05-13,2758526.0810400005,2833526.0104250005,2967154.8801650014,2350028.388555002,2807507.2879800005,3392280.3624367155
2021-05-14,2806323.111040001,2889551.7004250004,3007070.000165001,2370767.932300002,2845889.26798,3446222.343461315
2021-05-17,2794605.171040001,2885859.6804250004,3007693.200165001,2374390.4486450013,2848501.9879800007,3455599.7232420454
2021-05-18,2761095.0610400005,2854144.5804250003,2976083.680165001,2349901.071955002,2803448.0679800003,3428822.077516353
2021-05-19,2752890.081040001,2849606.5104250005,2974511.210165001,2344982.025740002,2786638.867980001,3435275.2337515904
2021-05-20,2772161.981040001,2877163.280425,2988359.2301650015,2344488.773630002,2788412.0479800007,3471431.6518001882
2021-05-21,2773746.601040001,2895796.5404250002,3005455.6501650014,2358833.391930002,2818916.4179800004,3455233.627520464
2021-05-24,2813034.381040001,2912384.3704250003,3006275.230165001,2366874.848295002,2815248.67798,3481156.8183270646
2021-05-25,2809306.4910400007,2913701.9604250006,2990580.2401650012,2355217.587980002,2792588.0079800007,3485833.3060359126
2021-05-26,2810106.561040001,2924631.320425,2998464.620165001,2362597.207330002,2796922.6479800004,3488906.1376686217
2021-05-27,2805490.571040001,2960801.8104250003,3035777.790165001,2377630.1905700024,2829143.9679800007,3489082.330920693
2021-05-28,2810314.691040001,2953402.1604250004,3036071.620165001,2375901.811385002,2833484.1279800003,3495269.3099897257
2021-06-01,2795482.381040001,2969375.6604250004,3039924.430165001,2387105.753625002,2844719.40798,3497835.896462965
2021-06-02,2792067.541040001,2978833.7904250002,3047515.8601650014,2382483.6666350025,2848323.437980001,3518337.9306075983
2021-06-03,2778031.541040001,2947562.710425,3034775.240165001,2382683.3534450023,2844709.517980001,3478330.0297768675
2021-06-04,2811216.311040001,2971302.940425,3054688.650165001,2383658.0700900024,2850906.707980001,3507282.250672918
2021-06-07,2824410.9110400006,2979795.0904250005,3042403.9001650014,2374846.1659350027,2843191.8779800003,3498408.250548429
2021-06-08,2817166.4110400006,2983800.980425,3037080.5101650013,2377849.8089900026,2840906.15798,3512327.46954848
2021-06-09,2812951.271040001,2963546.820425,3019457.140165001,2361033.939590003,2812212.757980001,3507314.930410241
2021-06-10,2833150.8310400005,2964862.4504250004,3004832.140165001,2351755.133905003,2784492.7179800007,3535749.1345639816
2021-06-11,2839525.081040001,2971763.5604250003,3008572.950165001,2355277.825775003,2790422.4579800004,3531022.6927379165
2021-06-14,2847768.7210400007,2973221.7604250005,2998512.0901650013,2350373.204780003,2767595.71798,3551105.5180545216
2021-06-15,2842272.8010400007,2975450.230425,2991795.7601650013,2357843.8177650026,2775780.167980001,3536220.4914980293
2021-06-16,2840142.421040001,2965858.6604250004,2981783.920165001,2362211.8146950025,2780174.6479800004,3531188.0345155727
2021-06-17,2829691.7310400004,2950904.110425,2944271.750165001,2316082.668090002,2708575.1179800006,3580181.3512673182
2021-06-18,2796080.5110400007,2915425.9604250006,2886698.5301650013,2277312.838745002,2647651.127980001,3550194.9511345103
2021-06-21,2834280.5110400007,2963565.690425,2934266.900165001,2312242.890665002,2718195.0679800007,3560562.7751117917
2021-06-22,2853262.581040001,2976099.2904250002,2937271.680165001,2309772.324460002,2716562.5779800015,3587909.3295743577
2021-06-23,2853704.171040001,2976610.2904250002,2932139.550165001,2310898.7302400023,2722635.857980001,3581729.1217554407
2021-06-24,2869140.3610400013,3002048.5104250005,2953767.0101650013,2324045.1851150026,2748877.3479800005,3600386.691371699
2021-06-25,2868691.06104,2997461.0804250003,2970368.930165001,2339812.6994550023,2780419.9779800004,3587968.8343498157
2021-06-28,2888084.651040001,2991523.6404250003,2975878.5101650013,2330671.8511800026,2759363.1679800004,3608719.048212483
2021-06-29,2896030.751040001,2994822.190425,2981384.9601650015,2327566.960205002,2750494.1079800003,3627693.144323036
2021-06-30,2896846.0210400005,3018790.1604250004,3012551.650165001,2336627.7617050023,2764955.65798,3675905.0300775254
2021-07-01,2911798.781040001,3029055.440425,3029519.190165001,2348671.8659900026,2790371.7079800004,3676828.601257224
2021-07-02,2958910.1110400003,3056663.2004250004,3051700.6601650007,2355291.9107000027,2804194.0079800007,3728334.6715043476
2021-07-06,2948296.021040001,3054823.860425,3016808.030165001,2336543.6401550025,2767288.307980001,3765667.4526989777
2021-07-07,2963980.4487550007,3050358.5404250002,3026184.190165001,2338583.7544650026,2772069.9979800005,3755874.482260786
2021-07-08,2935601.376885001,3031109.320425,2983709.850165001,2315332.417160003,2726894.7379800007,3750011.6013723924
2021-07-09,2969401.756885001,3078987.360425,3048801.8401650013,2360611.468220003,2804764.5279800007,3782219.760084767
2021-07-12,2972105.888450001,3089544.1004250003,3067634.020165001,2368128.603570003,2832244.4379800004,3776964.6003592275
2021-07-13,2982571.832430001,3052276.000425,3039679.890165001,2350821.773000003,2793415.4679800007,3750346.281822608
2021-07-14,2990915.755120001,3044419.2204250004,3043726.3601650014,2343208.3660350027,2788888.7079800004,3762400.3543175836
2021-07-15,2991561.905120001,3026899.3304250003,3035662.4601650015,2341822.6550450027,2793227.1179800006,3722755.242704713
2021-07-16,2975053.5051200003,2993324.5004250007,3002418.4501650007,2326868.805140003,2748773.36798,3670786.8999412535
2021-07-19,2911302.125120001,2915654.940425,2932186.360165001,2276019.566935003,2664467.9879800007,3623523.861836092
2021-07-20,2953378.225120001,2992712.0404250002,3004684.290165001,2317753.8784550033,2736896.607980001,3680473.1229555937
